ID,Title,Type,"Author 1","Author 1 Institute","Author 2","Author 2 Institute","Author 3","Author 3 Institute","Author 4","Author 4 Institute","Author 5","Author 5 Institute","Author 6","Author 6 Institute","Author 7","Author 7 Institute","Author 8","Author 8 Institute","Author 9","Author 9 Institute","Author 10","Author 10 Institute","Author 11","Author 11 Institute","Author 12","Author 12 Institute","Author 13","Author 13 Institute","Author 14","Author 14 Institute","Author 15","Author 15 Institute","Author 16","Author 16 Institute","Author 17","Author 17 Institute","Author 18","Author 18 Institute"
137472,"1H NMR AS A SIMPLE METHODOLOGY FOR BARN VS. FREE-RANGE CHICKEN  EGGS DIFFERENTIATION","Poster Presentation","Pedro Henrique Soares Cardoso","Universidade Federal de Goiás","Luciano Morais Lião","Universidade Federal de Goiás","Enya Silva de Oliveira","Institute of Chemistry/Federal University of Goiás","Gerlon de Almeida Ribeiro Oliveira","Instituto de Química / Universidade Federal de Goiás",,,,,,,,,,,,,,,,,,,,,,,,,,,,
137473,"The degradation of sofosbuvir under acid stress: a mixture analysis approach by NMR spectroscopy","Poster Presentation","Marília Vilela Salvador","Universidade Federal do Rio Grande do Sul","Tiago  Venâncio","Universidade Federal de São Carlos","Francisco Paulo dos Santos","Universidade Federal do Rio Grande do Sul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137474,"INTEGRATING PARAMAGNETIC LENSES AND CRYOPROBES: A POWERFUL TOOL FOR ENVIRONMENTAL MONITORING","Poster Presentation","Monica Bastawrous","University of Toronto","Rajshree Ghosh Biswas","Department of Physical and Environmental Science / Scarborough Campus / University of Toronto","Ronald Soong","Department of Physical and Environmental Science / Scarborough Campus / University of Toronto","Sagar Wadhwa","Institute of Microstructure Technology / Karlsruhe Institute of Technology / Karlsruhe Institute of Technology","Neil Mackinnon","Institute of Microstructure Technology / Karlsruhe Institute of Technology / Karlsruhe Institute of Technology","Mazin Jouda","Institute of Microstructure Technology / Karlsruhe Institute of Technology / Karlsruhe Institute of Technology","Dario Mager","Institute of Microstructure Technology / Karlsruhe Institute of Technology / Karlsruhe Institute of Technology","Jan Korvink","Institute of Microstructure Technology / Karlsruhe Institute of Technology / Karlsruhe Institute of Technology","Andre Simpson","University of Toronto",,,,,,,,,,,,,,,,,,
137476,"Inhibition of β-lactamases OXA-143 by hydrolyzed meropenem","Poster Presentation","Yara Rocha","Universidade Estadual de Campinas","Victor U. Antunes","Universidade Estadual de Campinas","Yan  Ladeira","Universidade Federal de Minas Gerais","Adolfo Henrique de Moraes Silva","Universidade Federal de Minas Gerais","Renan Pirolla","Universidade Estadual de Campinas","Fábio Gozzo","Universidade Estadual de Campinas","Anthony  Mittermaier","Department of Chemistry / McGill University / McGill University","Denize  C. Favaro","Universidade Estadual de Campinas",,,,,,,,,,,,,,,,,,,,
137477,"Evaluation of intramolecular hydrogen bonding on fluorinated pyridines   ","Poster Presentation","Cassia  Chiari","Universidade Estadual de Campinas","Cláudio Francisco Tormena","Universidade Estadual de Campinas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137478,"IMPLEMENTATION OF MCMC METHODOLOGY TO INVESTIGATE 1H CHEMICAL EXCHANGE IN AQUEOUS CARBOHYDRATE SOLUTIONS","Poster Presentation","Flávio Bueno dos Santos","Universidade Federal de Ouro Preto","Marcus Cardoso","Universidade Federal de Ouro Preto","Jose Rivera","Universidade de São Paulo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137479,"DIRECT qNMR MEASUREMENTS","Poster Presentation","Priscila  Rubim","Instituto Militar de Engenharia","Mychelle Monteiro","INCQS / Fundação Oswaldo Cruz","Filipe Soares Quirino da Silva",INCQS/Fiocruz,"Tanos Celmar Costa França","Instituto Militar de Engenharia","Joyce Sobreiro Francisco Diz de Almeida","Instituto Militar de Engenharia","Jochen  Junker","CDTS / Presidência / Fundação Oswaldo Cruz",,,,,,,,,,,,,,,,,,,,,,,,
137480,"SPIN-SPIN COUPLING CONSTANT AS TOOLS FOR INTRAMOLECULAR INTERACTIONS EVALUATION IN FLUORINE-CONTAINING COMPOUNDS","Poster Presentation","Laiza  Bruzadelle Loureiro","Universidade Estadual de Campinas","Cláudio Francisco Tormena","Universidade Estadual de Campinas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137486,"qNMR APPROACH FOR MONITORING CHANGES IN CARANHA FISH POLAR AND NON-POLAR METABOLIC PROFILES DUE TO FREEZE-THAW CYCLES","Poster Presentation","Vinícius  Silva Pinto","Federal Institute Goiano","Christian Dias Gomides","Institute of Chemistry, Federal University of Goias","Igor Flores","Federal Institute of Goiás","Luciano Morais Lião","Institute of Chemistry, Federal University of Goias",,,,,,,,,,,,,,,,,,,,,,,,,,,,
137487,"BENZNIDAZOLE AND BENZNIDAZOLE BASED-MEDICINES STUDIES BY NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","Poster Presentation","José Dias de Souza Filho","Universidade Federal de Ouro Preto","Jacqueline Souza","Universidade Federal de Ouro Preto","Marta de Lana","Universidade Federal de Ouro Preto","Gabriela Roberta Ramos Fernandes","Universidade Federal de Ouro Preto",,,,,,,,,,,,,,,,,,,,,,,,,,,,
